framework;platform;app;time;cpu;ram
react-native-new;android;gps;501;16;22
react-native-new;android;gps;498;15;25
react-native-new;android;gps;544;14;28
react-native-new;android;gps;523;18;21
react-native-new;android;gps;487;17;28
react-native-new;android;gps;511;15;24
react-native-new;android;calculations;24112;100;18.8
react-native-new;android;calculations;23340;100;15.2
react-native-new;android;calculations;25232;100;19.
react-native-new;android;calculations;22034;100;20.1
react-native-new;android;calculations;26323;100;21
react-native-new;android;calculations;22356;100;22.5
react-native-new;android;calculations;25416;100;18
react-native-new;android;calculations;24624;100;19
react-native-new;android;calculations;26741;100;21
react-native-new;android;calculations;25734;100;24
react-native-new;android;animation;5078;25;21
react-native-new;android;animation;5076;20;21.5
react-native-new;android;animation;5056;19;23.6
react-native-new;android;animation;5075;34;20.5
react-native-new;android;animation;5076;24;21.1
react-native-new;android;animation;5065;26;25.5
react-native-new;android;animation;5055;18;20.1
react-native-new;android;animation;5048;24;21
react-native-new;android;animation;5075;25;24.6
react-native-new;android;animation;5037;26;27
react-native-new;android;animation;5086;27;23
react-native-old;android;gps;205;6;30.8
react-native-old;android;gps;874;8;22.5
react-native-old;android;gps;856;8;25
react-native-old;android;gps;865;9;24.3
react-native-old;android;gps;745;14;18
react-native-old;android;gps;896;11;23.5
react-native-old;android;gps;845;8;24.3
react-native-old;android;gps;745;12;27.4
react-native-old;android;gps;783;10;21.3
react-native-old;android;gps;823;7;24
react-native-old;android;calculations;24585;100;20.5
react-native-old;android;calculations;24653;100;21.3
react-native-old;android;calculations;25423;100;22.5
react-native-old;android;calculations;25745;100;21.7
react-native-old;android;calculations;25234;100;19.8
react-native-old;android;calculations;25624;100;25.7
react-native-old;android;calculations;25624;100;19.9
react-native-old;android;calculations;24263;100;22.6
react-native-old;android;calculations;25374;100;27.2
react-native-old;android;calculations;25689;100;28.8
react-native-old;android;calculations;25144;100;24.8
react-native-old;android;video;632;32;23
react-native-old;android;video;712;46;21
react-native-old;android;video;691;38;22
react-native-old;android;video;523;38;27
react-native-old;android;video;731;39;22
react-native-old;android;video;596;41;21
react-native-old;android;video;634;42;20
react-native-old;android;video;717;37;26
react-native-old;android;video;696;34;23
react-native-old;android;video;531;44;21
react-native-old;android;animation;5122;16;16.8
react-native-old;android;animation;5142;14;13.6
react-native-old;android;animation;5166;19;17.5
react-native-old;android;animation;5133;15;16.9
react-native-old;android;animation;5342;13;17.8
react-native-old;android;animation;5093;16;19.8
react-native-old;android;animation;5145;17;18.8
react-native-old;android;animation;5231;15;17.6
react-native-old;android;animation;5243;13;16.5
react-native-old;android;animation;5102;16;15.9
react-native-old;android;animation;5134;13;19.3
flutter;ios;animation;5005;56;120
flutter;ios;animation;5013;62;113
flutter;ios;animation;5009;55;115
flutter;ios;animation;5017;57;116
flutter;ios;animation;5017;53;114
flutter;ios;animation;5004;56;111
flutter;ios;animation;5015;60;121
flutter;ios;animation;5011;51;118
flutter;ios;animation;5014;59;113
flutter;ios;animation;5012;57;110
flutter;ios;calculations;798;56;70
flutter;ios;calculations;814;55;58
flutter;ios;calculations;806;56;62
flutter;ios;calculations;815;59;64
flutter;ios;calculations;807;58;61
flutter;ios;calculations;812;55;67
flutter;ios;calculations;789;56;70
flutter;ios;calculations;823;61;54
flutter;ios;calculations;809;56;61
flutter;ios;calculations;814;53;69
flutter;ios;calculations;807;57;62
flutter;ios;calculations;811;54;65
flutter;ios;gps;1255;86;76
flutter;ios;gps;1352;75;75
flutter;ios;gps;1522;87;78
flutter;ios;gps;1342;89;69
flutter;ios;gps;1443;79;72
flutter;ios;gps;1445;77;68
flutter;ios;gps;1651;65;73
flutter;ios;gps;1534;81;69
flutter;ios;gps;1632;76;71
flutter;ios;gps;1563;65;72
flutter;ios;video;194;67;85
flutter;ios;video;235;73;83
flutter;ios;video;215;54;92
flutter;ios;video;297;37;78
flutter;ios;video;147;58;89
flutter;ios;video;256;66;103
flutter;ios;video;235;36;94
flutter;ios;video;184;41;84
flutter;ios;video;228;57;84
flutter;ios;video;235;59;91
ios;ios;calculations;41.7820;2;19.3
ios;ios;calculations;37.5279;1;19.4
ios;ios;calculations;37.5729;4;19.4
ios;ios;calculations;37.2359;4;19.4
ios;ios;calculations;36.1549;2;19.5
ios;ios;calculations;37.5279;3;19.4
ios;ios;calculations;34.9620;4;19.3
ios;ios;calculations;35.4809;4;19.2
ios;ios;calculations;36.7980;2;19.5
ios;ios;calculations;35.1342;3;19.4
ios;ios;animation;5040; 1; 19.7
ios;ios;animation;5849; 2; 19.8
ios;ios;animation;5540; 1; 19.7
ios;ios;animation;5021; 2; 19.7
ios;ios;animation;5749; 1; 19.6
ios;ios;animation;5230; 1; 19.7
ios;ios;animation;5234; 2; 19.8
ios;ios;animation;5432; 1; 19.4
ios;ios;animation;5211; 2; 19.7
ios;ios;animation;5312; 1; 19.5
ios;ios;video;116.3;0;20
ios;ios;video;107.7;0;20
ios;ios;video;107.4;0;20
ios;ios;video;106.7;0;21
ios;ios;video;106.7;0;20
ios;ios;video;107.4;0;20
ios;ios;video;108.2;0;20
ios;ios;video;109.7;0;19
ios;ios;video;109.6;0;21
ios;ios;video;110.4;0;20
ios;ios;gps;47.39;0;18.8
ios;ios;gps;47.77;0;18.8
ios;ios;gps;54.04;0;18.8
ios;ios;gps;53.37;0;18.9
ios;ios;gps;53.94;0;18.7
ios;ios;gps;46.40;0;18.8
ios;ios;gps;49.03;0;18.7
ios;ios;gps;49.81;0;18.8
ios;ios;gps;50.81;0;18.8
